Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5,HomeResult,AwayResult
Scottish Prem,2021-11-20,St Mirren,Livingston,1,1,D,0.0,0.0,D,11.0,9.0,4.0,5.0,13.0,16.0,7.0,3.0,1.0,0.0,0.0,0.0,2.29,1.61,D,D
League Two,2021-11-20,Harrogate,Salford,0,2,W,0.0,1.0,A,12.0,15.0,3.0,5.0,8.0,14.0,4.0,3.0,1.0,2.0,0.0,0.0,2.07,1.73,L,W
League One,2021-11-20,Doncaster,Lincoln,0,0,D,0.0,0.0,D,12.0,13.0,2.0,1.0,9.0,12.0,5.0,9.0,1.0,2.0,0.0,0.0,2.05,1.75,D,D
Eredivisie,2021-11-20,Heracles,For Sittard,3,1,L,2.0,1.0,H,19.0,14.0,8.0,4.0,11.0,19.0,5.0,4.0,1.0,4.0,0.0,0.0,1.67,2.18,W,L
Eredivisie,2021-11-20,AZ Alkmaar,Nijmegen,1,1,D,0.0,1.0,A,21.0,7.0,7.0,2.0,6.0,7.0,15.0,1.0,1.0,0.0,0.0,0.0,1.61,2.3,D,D
League One,2021-11-20,Sunderland,Ipswich,2,0,L,0.0,0.0,D,10.0,13.0,2.0,4.0,11.0,13.0,6.0,5.0,4.0,1.0,0.0,0.0,2.01,1.79,W,L
Eredivisie,2021-11-20,Sparta Rotterdam,Twente,0,1,W,0.0,0.0,D,11.0,6.0,4.0,4.0,9.0,6.0,4.0,3.0,1.0,1.0,0.0,0.0,2.03,1.78,L,W
League One,2021-11-20,Wycombe,Bolton,1,0,L,0.0,0.0,D,19.0,18.0,7.0,4.0,12.0,9.0,8.0,11.0,2.0,0.0,0.0,0.0,1.93,1.86,W,L
Eredivisie,2021-11-20,PSV Eindhoven,Vitesse,2,0,L,2.0,0.0,H,8.0,14.0,5.0,5.0,8.0,9.0,0.0,5.0,0.0,2.0,0.0,0.0,1.53,2.45,W,L
League One,2021-11-20,Accrington,Sheffield Weds,2,3,W,1.0,3.0,A,11.0,14.0,5.0,5.0,9.0,11.0,6.0,9.0,2.0,2.0,0.0,0.0,1.96,1.83,L,W
League One,2021-11-20,Charlton,Plymouth,2,0,L,0.0,0.0,D,14.0,8.0,5.0,3.0,7.0,11.0,11.0,5.0,1.0,2.0,0.0,0.0,1.85,1.94,W,L
League One,2021-11-20,Cheltenham,Shrewsbury,2,1,L,1.0,1.0,D,20.0,10.0,8.0,2.0,6.0,9.0,6.0,8.0,0.0,3.0,0.0,1.0,2.15,1.68,W,L
Belgian Pro,2021-11-20,Standard,Eupen,1,0,L,1.0,0.0,H,17.0,13.0,6.0,2.0,6.0,13.0,6.0,8.0,1.0,2.0,0.0,0.0,1.69,2.16,W,L
Belgian Pro,2021-11-20,Waregem,Gent,1,2,W,0.0,0.0,D,8.0,16.0,2.0,4.0,11.0,18.0,5.0,6.0,4.0,4.0,0.0,0.0,1.48,2.58,L,W
League One,2021-11-20,Crewe,Gillingham,2,0,L,1.0,0.0,H,20.0,12.0,8.0,2.0,7.0,9.0,5.0,12.0,1.0,2.0,0.0,0.0,2.06,1.74,W,L
League One,2021-11-20,Fleetwood Town,Morecambe,1,2,W,0.0,1.0,A,17.0,20.0,4.0,7.0,10.0,7.0,9.0,6.0,0.0,2.0,1.0,0.0,1.9,1.89,L,W
League One,2021-11-20,Portsmouth,AFC Wimbledon,2,1,L,0.0,1.0,A,14.0,14.0,8.0,6.0,10.0,9.0,5.0,6.0,1.0,1.0,0.0,0.0,2.01,1.78,W,L
League One,2021-11-20,Rotherham,Cambridge,3,1,L,2.0,0.0,H,22.0,10.0,11.0,3.0,9.0,8.0,7.0,2.0,2.0,0.0,0.0,0.0,1.81,1.99,W,L
Championship,2021-11-21,Derby,Bournemouth,3,2,L,1.0,2.0,A,9.0,12.0,3.0,5.0,7.0,9.0,3.0,4.0,0.0,1.0,0.0,0.0,2.25,1.65,W,L
Eredivisie,2021-11-21,Go Ahead Eagles,Groningen,0,1,W,0.0,0.0,D,6.0,19.0,3.0,9.0,17.0,7.0,5.0,6.0,6.0,1.0,2.0,0.0,1.93,1.87,L,W
Premier League,2021-11-21,Tottenham,Leeds,2,1,L,0.0,1.0,A,13.0,18.0,4.0,7.0,11.0,12.0,4.0,8.0,1.0,4.0,0.0,0.0,1.76,2.09,W,L
Eredivisie,2021-11-21,Heerenveen,Willem II,2,1,L,0.0,0.0,D,9.0,17.0,4.0,5.0,12.0,8.0,3.0,8.0,5.0,2.0,1.0,1.0,1.72,2.12,W,L
Premier League,2021-11-21,Man City,Everton,3,0,L,1.0,0.0,H,17.0,4.0,7.0,1.0,5.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,1.49,2.61,W,L
Eredivisie,2021-11-21,Waalwijk,Ajax,0,5,W,0.0,2.0,A,9.0,22.0,2.0,10.0,6.0,11.0,5.0,9.0,1.0,0.0,0.0,0.0,1.32,3.28,L,W
Eredivisie,2021-11-21,Cambuur,Utrecht,2,1,L,1.0,1.0,D,10.0,15.0,4.0,5.0,13.0,12.0,6.0,11.0,0.0,2.0,0.0,0.0,1.57,2.35,W,L
Belgian Pro,2021-11-21,Beerschot VA,Genk,2,0,L,1.0,0.0,H,10.0,19.0,3.0,4.0,10.0,5.0,4.0,7.0,1.0,1.0,0.0,0.0,1.55,2.42,W,L
Belgian Pro,2021-11-21,Oostende,St. Gilloise,1,7,W,1.0,4.0,A,6.0,15.0,1.0,8.0,11.0,6.0,5.0,5.0,1.0,0.0,0.0,0.0,1.59,2.31,L,W
Belgian Pro,2021-11-21,St Truiden,Antwerp,2,1,L,2.0,0.0,H,12.0,12.0,7.0,4.0,17.0,12.0,5.0,5.0,2.0,0.0,0.0,0.0,1.87,1.93,W,L
Belgian Pro,2021-11-21,Anderlecht,Kortrijk,1,1,D,0.0,1.0,A,21.0,11.0,4.0,5.0,8.0,15.0,10.0,2.0,0.0,4.0,1.0,0.0,1.61,2.28,D,D
Ligue 1,2021-11-21,Brest,Lens,4,0,L,3.0,0.0,H,13.0,14.0,5.0,5.0,7.0,7.0,5.0,5.0,1.0,2.0,0.0,1.0,1.8,2.02,W,L
Ligue 1,2021-11-21,Angers,Lorient,1,0,L,0.0,0.0,D,8.0,10.0,4.0,3.0,15.0,13.0,6.0,3.0,4.0,0.0,0.0,0.0,2.13,1.72,W,L
Ligue 1,2021-11-21,Metz,Bordeaux,3,3,D,1.0,2.0,A,20.0,19.0,9.0,5.0,12.0,11.0,2.0,4.0,2.0,2.0,1.0,0.0,2.03,1.8,D,D
Ligue 1,2021-11-21,Strasbourg,Reims,1,1,D,0.0,1.0,A,21.0,10.0,3.0,3.0,8.0,13.0,5.0,4.0,1.0,4.0,0.0,0.0,2.35,1.6,D,D
Eredivisie,2021-11-21,Feyenoord,Zwolle,4,0,L,4.0,0.0,H,18.0,5.0,9.0,4.0,12.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,1.47,2.61,W,L
Serie A,2021-11-21,Sassuolo,Cagliari,2,2,D,1.0,1.0,D,20.0,11.0,4.0,4.0,13.0,10.0,6.0,5.0,1.0,2.0,0.0,0.0,1.59,2.35,D,D
Ligue 1,2021-11-21,Clermont,Nice,1,2,W,1.0,0.0,H,18.0,9.0,6.0,4.0,7.0,16.0,3.0,5.0,1.0,4.0,0.0,0.0,1.89,1.91,L,W
Bundesliga,2021-11-21,Mainz,FC Koln,1,1,D,1.0,0.0,H,11.0,12.0,2.0,6.0,18.0,7.0,5.0,7.0,2.0,1.0,0.0,0.0,1.72,2.15,D,D
Ligue 1,2021-11-21,Troyes,St Etienne,0,1,W,0.0,0.0,D,15.0,14.0,3.0,4.0,13.0,11.0,6.0,8.0,1.0,4.0,0.0,0.0,1.87,1.94,L,W
La Liga,2021-11-21,Getafe,Cadiz,4,0,L,1.0,0.0,H,17.0,10.0,8.0,2.0,14.0,7.0,3.0,7.0,2.0,4.0,0.0,0.0,2.82,1.42,W,L
La Liga,2021-11-21,Granada,Real Madrid,1,4,W,1.0,2.0,A,11.0,21.0,3.0,10.0,10.0,7.0,9.0,6.0,1.0,1.0,1.0,0.0,1.63,2.3,L,W
La Liga,2021-11-21,Elche,Betis,0,3,W,0.0,3.0,A,14.0,9.0,4.0,4.0,12.0,14.0,10.0,1.0,1.0,2.0,0.0,1.0,2.02,1.8,L,W
La Liga,2021-11-21,Sociedad,Valencia,0,0,D,0.0,0.0,D,9.0,8.0,2.0,3.0,11.0,16.0,2.0,4.0,4.0,7.0,1.0,0.0,1.99,1.83,D,D
Serie A,2021-11-21,Genoa,Roma,0,2,W,0.0,0.0,D,1.0,19.0,1.0,4.0,13.0,13.0,1.0,2.0,3.0,2.0,0.0,0.0,1.61,2.31,L,W
Bundesliga,2021-11-21,Freiburg,Ein Frankfurt,0,2,W,0.0,2.0,A,20.0,13.0,6.0,7.0,10.0,16.0,10.0,4.0,0.0,4.0,0.0,0.0,1.74,2.11,L,W
Serie A,2021-11-21,Salernitana,Sampdoria,0,2,W,0.0,2.0,A,18.0,13.0,2.0,6.0,10.0,19.0,13.0,3.0,0.0,3.0,0.0,0.0,1.94,1.88,L,W
Serie A,2021-11-21,Bologna,Venezia,0,1,W,0.0,0.0,D,22.0,8.0,6.0,6.0,6.0,9.0,17.0,0.0,0.0,3.0,0.0,0.0,1.74,2.09,L,W
Serie A,2021-11-21,Inter,Napoli,3,2,L,2.0,1.0,H,17.0,9.0,7.0,3.0,15.0,16.0,4.0,1.0,4.0,3.0,0.0,0.0,1.76,2.06,W,L
Serie A,2021-11-22,Verona,Empoli,2,1,L,0.0,0.0,D,22.0,9.0,5.0,4.0,7.0,13.0,1.0,3.0,1.0,3.0,0.0,0.0,1.59,2.34,W,L
Serie A,2021-11-22,Torino,Udinese,2,1,L,1.0,0.0,H,14.0,18.0,4.0,7.0,19.0,17.0,4.0,7.0,1.0,3.0,0.0,0.0,2.16,1.7,W,L
La Liga,2021-11-22,Vallecano,Mallorca,3,1,L,2.0,0.0,H,15.0,11.0,6.0,5.0,14.0,17.0,6.0,4.0,3.0,2.0,0.0,0.0,2.17,1.69,W,L
Championship,2021-11-23,Reading,Sheffield United,0,1,W,0.0,0.0,D,6.0,8.0,2.0,2.0,9.0,14.0,5.0,5.0,0.0,3.0,0.0,0.0,1.95,1.85,L,W
League One,2021-11-23,Ipswich,Rotherham,0,2,W,0.0,1.0,A,5.0,11.0,1.0,3.0,14.0,12.0,3.0,5.0,1.0,3.0,0.0,0.0,2.03,1.77,L,W
League One,2021-11-23,Lincoln,Portsmouth,0,3,W,0.0,1.0,A,11.0,20.0,2.0,6.0,13.0,18.0,3.0,3.0,2.0,2.0,0.0,0.0,1.95,1.84,L,W
League One,2021-11-23,Morecambe,Charlton,2,2,D,1.0,2.0,A,7.0,16.0,2.0,4.0,10.0,17.0,3.0,6.0,2.0,2.0,0.0,0.0,1.85,1.94,D,D
League One,2021-11-23,Oxford,Fleetwood Town,3,1,L,2.0,1.0,H,14.0,9.0,4.0,4.0,6.0,12.0,3.0,3.0,1.0,3.0,0.0,0.0,1.69,2.14,W,L
League One,2021-11-23,Plymouth,Wycombe,0,3,W,0.0,0.0,D,27.0,16.0,4.0,7.0,6.0,13.0,7.0,3.0,2.0,4.0,0.0,0.0,1.9,1.89,L,W
League One,2021-11-23,Sheffield Weds,Milton Keynes Dons,2,1,L,0.0,0.0,D,25.0,7.0,11.0,2.0,12.0,7.0,14.0,2.0,1.0,2.0,0.0,0.0,1.87,1.92,W,L
League One,2021-11-23,Shrewsbury,Sunderland,1,1,D,0.0,1.0,A,10.0,20.0,3.0,4.0,8.0,4.0,6.0,5.0,0.0,1.0,1.0,0.0,2.04,1.76,D,D
League One,2021-11-23,Bolton,Doncaster,3,0,L,2.0,0.0,H,20.0,6.0,5.0,1.0,6.0,9.0,14.0,4.0,1.0,0.0,0.0,1.0,1.96,1.83,W,L
League One,2021-11-23,Burton,Accrington,4,0,L,2.0,0.0,H,18.0,8.0,7.0,2.0,12.0,13.0,8.0,1.0,0.0,2.0,0.0,0.0,1.93,1.86,W,L
League One,2021-11-23,AFC Wimbledon,Crewe,3,2,L,3.0,1.0,H,28.0,11.0,7.0,3.0,12.0,7.0,8.0,4.0,1.0,3.0,1.0,0.0,1.98,1.81,W,L
League Two,2021-11-23,Port Vale,Walsall,0,1,W,0.0,1.0,A,5.0,11.0,0.0,4.0,17.0,16.0,3.0,3.0,2.0,4.0,1.0,0.0,2.28,1.61,L,W
League Two,2021-11-23,Northampton,Oldham,2,1,L,2.0,0.0,H,12.0,9.0,3.0,5.0,7.0,11.0,6.0,1.0,1.0,2.0,0.0,0.0,2.06,1.74,W,L
League Two,2021-11-23,Forest Green,Barrow,2,0,L,0.0,0.0,D,13.0,9.0,4.0,2.0,8.0,6.0,7.0,5.0,0.0,2.0,0.0,0.0,1.98,1.81,W,L
League Two,2021-11-23,Tranmere,Bradford,2,1,L,0.0,1.0,A,14.0,7.0,7.0,2.0,13.0,13.0,2.0,4.0,0.0,1.0,0.0,0.0,2.15,1.68,W,L
League Two,2021-11-23,Rochdale,Stevenage,2,2,D,2.0,1.0,H,27.0,9.0,9.0,6.0,4.0,10.0,8.0,4.0,1.0,3.0,0.0,0.0,2.03,1.77,D,D
League Two,2021-11-23,Salford,Bristol Rvs,1,1,D,0.0,1.0,A,5.0,19.0,1.0,7.0,18.0,5.0,1.0,5.0,3.0,1.0,2.0,0.0,2.07,1.73,D,D
League Two,2021-11-23,Scunthorpe,Leyton Orient,1,1,D,0.0,1.0,A,10.0,15.0,3.0,2.0,13.0,9.0,5.0,4.0,4.0,1.0,0.0,0.0,2.21,1.64,D,D
League Two,2021-11-23,Sutton,Mansfield,2,0,L,1.0,0.0,H,12.0,14.0,4.0,3.0,17.0,17.0,2.0,5.0,0.0,3.0,0.0,0.0,2.04,1.75,W,L
League Two,2021-11-23,Swindon,Hartlepool,3,1,L,0.0,0.0,D,14.0,12.0,5.0,5.0,8.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,1.94,1.84,W,L
League Two,2021-11-23,Carlisle,Harrogate,0,2,W,0.0,1.0,A,13.0,11.0,4.0,7.0,9.0,22.0,7.0,5.0,1.0,2.0,0.0,0.0,2.11,1.71,L,W
League Two,2021-11-23,Colchester,Exeter,3,1,L,2.0,0.0,H,9.0,15.0,3.0,8.0,5.0,10.0,3.0,9.0,3.0,0.0,0.0,0.0,2.13,1.69,W,L
League Two,2021-11-23,Crawley Town,Newport County,1,1,D,0.0,0.0,D,15.0,6.0,4.0,3.0,14.0,11.0,2.0,6.0,2.0,5.0,0.0,0.0,2.04,1.75,D,D
Championship,2021-11-23,Coventry,Birmingham,0,0,D,0.0,0.0,D,13.0,6.0,5.0,1.0,7.0,15.0,9.0,1.0,0.0,3.0,0.0,1.0,2.19,1.67,D,D
Championship,2021-11-23,Middlesbrough,Preston,1,2,W,1.0,0.0,H,18.0,7.0,6.0,2.0,9.0,17.0,11.0,4.0,0.0,4.0,0.0,0.0,2.33,1.6,L,W
Championship,2021-11-23,Nott'm Forest,Luton,0,0,D,0.0,0.0,D,8.0,10.0,0.0,2.0,15.0,15.0,5.0,7.0,2.0,3.0,0.0,0.0,2.25,1.64,D,D
League One,2021-11-23,Cambridge,Wigan,2,2,D,1.0,0.0,H,5.0,11.0,3.0,5.0,9.0,14.0,2.0,7.0,2.0,0.0,0.0,0.0,1.97,1.83,D,D
League One,2021-11-23,Gillingham,Cheltenham,0,2,W,0.0,1.0,A,13.0,14.0,3.0,5.0,8.0,5.0,6.0,4.0,1.0,1.0,0.0,0.0,1.9,1.89,L,W
Championship,2021-11-23,Blackpool,West Brom,0,0,D,0.0,0.0,D,13.0,25.0,4.0,3.0,8.0,12.0,1.0,8.0,2.0,2.0,0.0,0.0,2.06,1.76,D,D
Championship,2021-11-24,QPR,Huddersfield,1,0,L,0.0,0.0,D,22.0,10.0,5.0,5.0,12.0,7.0,9.0,4.0,2.0,2.0,0.0,0.0,2.03,1.79,W,L
Championship,2021-11-24,Millwall,Bournemouth,1,1,D,0.0,1.0,A,8.0,9.0,1.0,3.0,7.0,17.0,6.0,2.0,1.0,2.0,0.0,0.0,2.18,1.68,D,D
Championship,2021-11-24,Fulham,Derby,0,0,D,0.0,0.0,D,21.0,4.0,5.0,2.0,12.0,9.0,7.0,5.0,1.0,2.0,0.0,0.0,1.7,2.16,D,D
Championship,2021-11-24,Cardiff,Hull,0,1,W,0.0,1.0,A,14.0,6.0,4.0,1.0,9.0,14.0,4.0,4.0,2.0,2.0,0.0,0.0,2.07,1.75,L,W
Championship,2021-11-24,Bristol City,Stoke,1,0,L,1.0,0.0,H,8.0,13.0,2.0,4.0,7.0,13.0,4.0,5.0,2.0,1.0,0.0,1.0,1.97,1.83,W,L
Championship,2021-11-24,Blackburn,Peterboro,4,0,L,3.0,0.0,H,13.0,7.0,7.0,2.0,13.0,11.0,5.0,3.0,1.0,2.0,0.0,0.0,1.8,2.02,W,L
Championship,2021-11-24,Barnsley,Swansea,0,2,W,0.0,0.0,D,3.0,6.0,1.0,3.0,12.0,8.0,0.0,2.0,2.0,3.0,0.0,0.0,2.06,1.77,L,W
Scottish Prem,2021-11-24,Ross County,Hibernian,1,0,L,0.0,0.0,D,10.0,6.0,5.0,4.0,10.0,11.0,6.0,3.0,2.0,1.0,0.0,2.0,1.95,1.85,W,L
Bundesliga,2021-11-26,Stuttgart,Mainz,2,1,L,1.0,1.0,D,8.0,18.0,3.0,5.0,7.0,17.0,5.0,6.0,2.0,2.0,0.0,0.0,2.04,1.79,W,L
Championship,2021-11-26,West Brom,Nott'm Forest,0,0,D,0.0,0.0,D,16.0,9.0,3.0,1.0,13.0,7.0,7.0,7.0,1.0,2.0,1.0,0.0,2.17,1.69,D,D
La Liga,2021-11-26,Ath Bilbao,Granada,2,2,D,1.0,2.0,A,17.0,8.0,5.0,4.0,12.0,9.0,8.0,3.0,1.0,1.0,1.0,0.0,2.06,1.78,D,D
Portugal Prem,2021-11-26,Moreirense,Gil Vicente,2,2,D,0.0,0.0,D,15.0,14.0,4.0,8.0,19.0,13.0,5.0,5.0,3.0,6.0,0.0,0.0,2.17,1.68,D,D
Eredivisie,2021-11-26,Nijmegen,Cambuur,2,3,W,2.0,1.0,H,20.0,15.0,9.0,8.0,9.0,12.0,10.0,3.0,3.0,1.0,0.0,0.0,1.75,2.07,L,W
League Two,2021-11-26,Colchester,Newport County,1,1,D,0.0,1.0,A,9.0,15.0,1.0,10.0,10.0,6.0,4.0,5.0,1.0,2.0,0.0,0.0,2.17,1.66,D,D
Ligue 1,2021-11-26,Lens,Angers,2,2,D,0.0,1.0,A,9.0,12.0,4.0,5.0,15.0,6.0,5.0,5.0,2.0,0.0,0.0,0.0,2.1,1.75,D,D
Serie A,2021-11-26,Cagliari,Salernitana,1,1,D,0.0,0.0,D,19.0,8.0,3.0,2.0,13.0,10.0,7.0,6.0,3.0,1.0,0.0,0.0,2.07,1.76,D,D
Belgian Pro,2021-11-26,St. Gilloise,Oud-Heverlee Leuven,1,3,W,0.0,2.0,A,14.0,6.0,2.0,5.0,13.0,13.0,5.0,2.0,3.0,3.0,0.0,0.0,1.41,2.86,L,W
League One,2021-11-27,Burton,Doncaster,2,0,L,0.0,0.0,D,18.0,2.0,6.0,0.0,8.0,9.0,10.0,5.0,1.0,3.0,0.0,0.0,1.96,1.84,W,L
League Two,2021-11-27,Swindon,Harrogate,1,1,D,0.0,1.0,A,13.0,15.0,3.0,4.0,7.0,15.0,6.0,5.0,2.0,3.0,0.0,0.0,1.81,1.98,D,D
League Two,2021-11-27,Sutton,Barrow,1,0,L,1.0,0.0,H,10.0,13.0,3.0,3.0,14.0,12.0,1.0,15.0,4.0,2.0,0.0,0.0,2.04,1.74,W,L
League Two,2021-11-27,Scunthorpe,Bradford,1,1,D,1.0,0.0,H,14.0,19.0,2.0,4.0,14.0,8.0,10.0,5.0,3.0,0.0,0.0,0.0,2.0,1.78,D,D
League Two,2021-11-27,Salford,Oldham,2,0,L,1.0,0.0,H,15.0,12.0,4.0,2.0,14.0,14.0,6.0,4.0,3.0,3.0,0.0,0.0,1.9,1.87,W,L
League Two,2021-11-27,Rochdale,Exeter,1,1,D,0.0,0.0,D,15.0,11.0,4.0,7.0,6.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,1.91,1.87,D,D
League One,2021-11-27,Sheffield Weds,Wycombe,2,2,D,1.0,1.0,D,18.0,6.0,8.0,2.0,9.0,14.0,8.0,3.0,2.0,2.0,0.0,0.0,1.98,1.82,D,D
League One,2021-11-27,Shrewsbury,Charlton,1,0,L,0.0,0.0,D,7.0,8.0,2.0,4.0,10.0,13.0,4.0,11.0,1.0,3.0,0.0,0.0,2.04,1.75,W,L
League One,2021-11-27,Lincoln,Accrington,0,1,W,0.0,0.0,D,13.0,15.0,3.0,5.0,11.0,17.0,6.0,9.0,1.0,3.0,0.0,0.0,1.92,1.87,L,W
Ligue 1,2021-11-27,Lille,Nantes,1,1,D,1.0,1.0,D,10.0,7.0,3.0,3.0,7.0,12.0,12.0,1.0,1.0,2.0,0.0,1.0,1.98,1.84,D,D
Ligue 1,2021-11-27,Nice,Metz,0,1,W,0.0,1.0,A,20.0,4.0,2.0,1.0,13.0,12.0,8.0,1.0,2.0,2.0,0.0,0.0,1.75,2.09,L,W
League Two,2021-11-27,Northampton,Leyton Orient,1,0,L,1.0,0.0,H,7.0,9.0,1.0,3.0,10.0,7.0,6.0,6.0,0.0,2.0,0.0,0.0,2.23,1.63,W,L
League Two,2021-11-27,Forest Green,Bristol Rvs,2,0,L,1.0,0.0,H,12.0,12.0,4.0,2.0,10.0,16.0,3.0,8.0,1.0,3.0,1.0,0.0,1.82,1.96,W,L
League Two,2021-11-27,Crawley Town,Mansfield,1,2,W,0.0,1.0,A,6.0,10.0,2.0,3.0,8.0,16.0,3.0,8.0,0.0,2.0,0.0,0.0,1.97,1.81,L,W
Championship,2021-11-27,Luton,Cardiff,1,2,W,0.0,1.0,A,12.0,9.0,1.0,4.0,7.0,10.0,6.0,1.0,1.0,2.0,0.0,0.0,2.03,1.79,L,W
Championship,2021-11-27,Peterboro,Barnsley,0,0,D,0.0,0.0,D,12.0,10.0,2.0,3.0,7.0,14.0,6.0,3.0,3.0,2.0,0.0,0.0,2.0,1.82,D,D
Championship,2021-11-27,Stoke,Blackburn,0,1,W,0.0,0.0,D,7.0,7.0,4.0,2.0,13.0,6.0,5.0,3.0,4.0,4.0,0.0,0.0,2.01,1.81,L,W
League One,2021-11-27,Plymouth,Wigan,1,2,W,1.0,1.0,D,15.0,15.0,1.0,5.0,10.0,8.0,9.0,6.0,1.0,1.0,0.0,0.0,1.87,1.92,L,W
League One,2021-11-27,Bolton,Cheltenham,2,2,D,1.0,2.0,A,20.0,11.0,6.0,7.0,7.0,10.0,4.0,4.0,1.0,1.0,0.0,0.0,1.89,1.89,D,D
League One,2021-11-27,AFC Wimbledon,Fleetwood Town,2,2,D,0.0,1.0,A,9.0,13.0,3.0,5.0,9.0,9.0,1.0,7.0,1.0,2.0,0.0,0.0,1.9,1.89,D,D
League One,2021-11-27,Gillingham,Portsmouth,0,1,W,0.0,0.0,D,8.0,10.0,2.0,4.0,9.0,8.0,5.0,4.0,0.0,1.0,0.0,0.0,1.98,1.81,L,W
Eredivisie,2021-11-27,For Sittard,Groningen,1,4,W,1.0,2.0,A,11.0,14.0,7.0,7.0,9.0,10.0,1.0,2.0,0.0,1.0,1.0,0.0,1.92,1.88,L,W
Eredivisie,2021-11-27,Zwolle,Waalwijk,0,0,D,0.0,0.0,D,9.0,5.0,1.0,3.0,11.0,16.0,4.0,5.0,1.0,2.0,0.0,0.0,1.86,1.94,D,D
Eredivisie,2021-11-27,Willem II,Go Ahead Eagles,0,1,W,0.0,0.0,D,19.0,6.0,5.0,3.0,7.0,6.0,9.0,4.0,1.0,1.0,0.0,0.0,1.85,1.95,L,W
League One,2021-11-27,Morecambe,Milton Keynes Dons,0,4,W,0.0,2.0,A,11.0,10.0,5.0,7.0,9.0,7.0,7.0,4.0,1.0,1.0,0.0,0.0,1.85,1.94,L,W
Portugal Prem,2021-11-27,Famalicao,Portimonense,0,3,W,0.0,2.0,A,20.0,6.0,2.0,2.0,17.0,10.0,8.0,3.0,1.0,3.0,0.0,0.0,2.3,1.6,L,W
Portugal Prem,2021-11-27,Arouca,Boavista,2,1,L,1.0,0.0,H,8.0,13.0,6.0,2.0,14.0,23.0,2.0,1.0,3.0,4.0,0.0,0.0,2.11,1.72,W,L
Portugal Prem,2021-11-27,Belenenses,Benfica,0,7,W,0.0,7.0,A,0.0,17.0,0.0,11.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.67,2.18,L,W
League One,2021-11-27,Oxford,Rotherham,0,0,D,0.0,0.0,D,9.0,15.0,5.0,1.0,9.0,11.0,3.0,9.0,1.0,5.0,0.0,0.0,1.83,1.95,D,D
League Two,2021-11-27,Carlisle,Walsall,1,0,L,0.0,0.0,D,11.0,12.0,2.0,5.0,14.0,13.0,3.0,4.0,2.0,1.0,0.0,0.0,2.1,1.71,W,L
La Liga,2021-11-27,Alaves,Celta,1,2,W,1.0,1.0,D,13.0,8.0,5.0,5.0,12.0,15.0,5.0,3.0,3.0,2.0,0.0,0.0,2.34,1.6,L,W
La Liga,2021-11-27,Valencia,Vallecano,1,1,D,1.0,0.0,H,8.0,12.0,4.0,6.0,18.0,15.0,3.0,9.0,6.0,5.0,0.0,0.0,2.19,1.68,D,D
La Liga,2021-11-27,Mallorca,Getafe,0,0,D,0.0,0.0,D,12.0,11.0,2.0,0.0,8.0,19.0,2.0,0.0,3.0,0.0,0.0,0.0,2.78,1.43,D,D
La Liga,2021-11-27,Villarreal,Barcelona,1,3,W,0.0,0.0,D,14.0,12.0,2.0,6.0,19.0,14.0,4.0,4.0,2.0,2.0,0.0,0.0,1.78,2.06,L,W
Championship,2021-11-27,Swansea,Reading,2,3,W,1.0,2.0,A,19.0,9.0,10.0,6.0,4.0,12.0,3.0,3.0,1.0,3.0,0.0,0.0,2.04,1.78,L,W
League One,2021-11-27,Cambridge,Sunderland,1,2,W,1.0,2.0,A,9.0,13.0,2.0,2.0,6.0,6.0,12.0,6.0,0.0,1.0,0.0,0.0,1.95,1.84,L,W
League Two,2021-11-27,Port Vale,Hartlepool,2,0,L,1.0,0.0,H,11.0,5.0,5.0,1.0,13.0,10.0,6.0,5.0,3.0,1.0,0.0,0.0,1.99,1.8,W,L
Championship,2021-11-27,Hull,Millwall,2,1,L,1.0,1.0,D,10.0,12.0,3.0,5.0,8.0,10.0,7.0,5.0,2.0,2.0,0.0,0.0,2.38,1.58,W,L
Championship,2021-11-27,Bournemouth,Coventry,2,2,D,1.0,0.0,H,9.0,9.0,5.0,6.0,10.0,15.0,4.0,6.0,2.0,1.0,1.0,0.0,2.03,1.79,D,D
Premier League,2021-11-27,Arsenal,Newcastle,2,0,L,0.0,0.0,D,24.0,9.0,6.0,5.0,6.0,12.0,4.0,4.0,1.0,3.0,0.0,0.0,1.62,2.33,W,L
Bundesliga,2021-11-27,Bochum,Freiburg,2,1,L,0.0,0.0,D,13.0,22.0,5.0,11.0,12.0,13.0,4.0,7.0,2.0,1.0,0.0,0.0,1.96,1.87,W,L
Bundesliga,2021-11-27,FC Koln,M'gladbach,4,1,L,0.0,0.0,D,15.0,15.0,9.0,5.0,15.0,11.0,4.0,4.0,1.0,3.0,0.0,0.0,1.6,2.35,W,L
Bundesliga,2021-11-27,Greuther Furth,Hoffenheim,3,6,W,1.0,2.0,A,14.0,20.0,7.0,11.0,17.0,17.0,4.0,10.0,1.0,0.0,0.0,0.0,1.54,2.47,L,W
