Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,AvgH,AvgD,AvgA,HF,AF,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,FTR,Avg>2.5,Avg<2.5,SHG,SAG
SC0,2022-07-30,Hearts,Ross County,2.0,1.0,0.0,0.0,D,1.55,4.08,5.73,6.0,15.0,15.0,12.0,4.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,H,1.84,1.94,2.0,1.0
E1,2022-07-30,Hull,Bristol City,2.0,1.0,0.0,1.0,A,2.4,3.36,2.95,11.0,5.0,14.0,10.0,4.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,H,1.94,1.87,2.0,0.0
E2,2022-07-30,Ipswich,Bolton,1.0,1.0,1.0,1.0,D,1.88,3.47,4.03,13.0,14.0,17.0,4.0,5.0,1.0,8.0,6.0,2.0,2.0,0.0,0.0,D,2.0,1.78,0.0,0.0
SC0,2022-07-30,Kilmarnock,Dundee United,1.0,1.0,0.0,1.0,A,2.43,3.14,3.01,11.0,11.0,18.0,7.0,5.0,5.0,4.0,4.0,2.0,0.0,0.0,1.0,D,2.25,1.62,1.0,0.0
E3,2022-07-30,Leyton Orient,Grimsby,2.0,0.0,0.0,0.0,D,2.15,3.27,3.35,9.0,7.0,14.0,10.0,5.0,6.0,3.0,2.0,3.0,2.0,0.0,0.0,H,2.04,1.73,2.0,0.0
E2,2022-07-30,Lincoln,Exeter,1.0,1.0,0.0,1.0,A,2.32,3.3,3.0,6.0,11.0,11.0,7.0,2.0,2.0,8.0,4.0,1.0,2.0,0.0,0.0,D,1.95,1.82,1.0,0.0
SC0,2022-07-30,Livingston,Rangers,1.0,2.0,1.0,0.0,H,7.89,4.59,1.39,17.0,15.0,5.0,21.0,2.0,6.0,0.0,8.0,3.0,4.0,0.0,0.0,A,1.84,1.94,0.0,2.0
E1,2022-07-30,Luton,Birmingham,0.0,0.0,0.0,0.0,D,1.86,3.55,4.3,7.0,15.0,14.0,12.0,4.0,3.0,10.0,6.0,0.0,3.0,0.0,0.0,D,2.02,1.79,0.0,0.0
E1,2022-07-30,Middlesbrough,West Brom,1.0,1.0,1.0,0.0,H,2.23,3.35,3.28,7.0,9.0,16.0,12.0,2.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,D,2.05,1.76,0.0,1.0
E1,2022-07-30,Millwall,Stoke,2.0,0.0,1.0,0.0,H,2.32,3.25,3.18,14.0,8.0,13.0,4.0,5.0,2.0,8.0,2.0,1.0,2.0,0.0,0.0,H,2.29,1.62,1.0,0.0
E2,2022-07-30,Morecambe,Shrewsbury,0.0,0.0,0.0,0.0,D,2.88,3.26,2.43,12.0,13.0,7.0,17.0,2.0,1.0,4.0,3.0,2.0,2.0,0.0,0.0,D,2.1,1.71,0.0,0.0
E3,2022-07-30,Northampton,Colchester,3.0,2.0,1.0,1.0,D,1.67,3.61,5.1,15.0,13.0,11.0,5.0,4.0,4.0,3.0,4.0,1.0,4.0,0.0,0.0,H,2.07,1.7,2.0,1.0
B1,2022-07-30,Oostende,Mechelen,2.0,1.0,2.0,0.0,H,2.71,3.5,2.44,5.0,14.0,9.0,19.0,7.0,7.0,6.0,9.0,0.0,2.0,1.0,0.0,H,1.69,2.15,0.0,1.0
B1,2022-07-30,Oud-Heverlee Leuven,Westerlo,2.0,0.0,1.0,0.0,H,2.48,3.44,2.72,11.0,15.0,11.0,14.0,5.0,0.0,5.0,6.0,2.0,3.0,0.0,1.0,H,1.73,2.09,1.0,0.0
E2,2022-07-30,Plymouth,Barnsley,1.0,0.0,1.0,0.0,H,2.11,3.34,3.41,2.0,15.0,19.0,9.0,5.0,1.0,2.0,6.0,0.0,2.0,0.0,0.0,H,1.94,1.83,0.0,0.0
E2,2022-07-30,Port Vale,Fleetwood Town,2.0,1.0,2.0,1.0,H,2.0,3.33,3.78,12.0,11.0,13.0,7.0,2.0,2.0,10.0,5.0,3.0,1.0,0.0,0.0,H,2.04,1.74,0.0,0.0
E3,2022-07-30,Rochdale,Crewe,1.0,2.0,0.0,2.0,A,2.12,3.33,3.36,10.0,9.0,12.0,9.0,4.0,3.0,6.0,1.0,2.0,2.0,0.0,0.0,A,2.0,1.75,1.0,0.0
E1,2022-07-30,Rotherham,Swansea,1.0,1.0,1.0,1.0,D,2.62,3.46,2.62,12.0,6.0,9.0,14.0,8.0,5.0,5.0,6.0,1.0,2.0,0.0,0.0,D,1.91,1.89,0.0,0.0
E3,2022-07-30,Salford,Mansfield,2.0,0.0,2.0,0.0,H,2.56,3.19,2.74,11.0,19.0,8.0,14.0,3.0,4.0,3.0,9.0,2.0,0.0,0.0,0.0,H,2.13,1.67,0.0,0.0
E2,2022-07-30,Sheffield Weds,Portsmouth,3.0,3.0,1.0,0.0,H,1.72,3.72,4.66,17.0,12.0,17.0,7.0,6.0,5.0,7.0,0.0,4.0,0.0,1.0,0.0,D,1.91,1.86,2.0,3.0
SC0,2022-07-30,St Johnstone,Hibernian,0.0,1.0,0.0,0.0,D,3.25,3.0,2.37,12.0,15.0,4.0,14.0,1.0,1.0,3.0,9.0,2.0,4.0,1.0,0.0,A,2.53,1.5,0.0,1.0
E3,2022-07-30,Stockport,Barrow,2.0,3.0,0.0,3.0,A,1.53,4.11,5.76,13.0,9.0,11.0,10.0,5.0,7.0,4.0,3.0,2.0,4.0,0.0,0.0,A,1.82,1.94,2.0,0.0
E3,2022-07-30,Sutton,Newport County,1.0,1.0,1.0,1.0,D,2.23,3.28,3.16,10.0,16.0,12.0,7.0,3.0,3.0,4.0,7.0,3.0,3.0,0.0,0.0,D,1.99,1.77,0.0,0.0
E3,2022-07-30,Tranmere,Stevenage,1.0,2.0,0.0,1.0,A,2.04,3.29,3.65,15.0,9.0,8.0,16.0,4.0,10.0,5.0,9.0,1.0,3.0,0.0,0.0,A,2.19,1.63,1.0,1.0
E3,2022-07-30,Walsall,Hartlepool,4.0,0.0,2.0,0.0,H,2.22,3.22,3.25,8.0,13.0,21.0,4.0,11.0,2.0,8.0,2.0,0.0,2.0,0.0,0.0,H,2.18,1.64,2.0,0.0
E1,2022-07-30,Wigan,Preston,0.0,0.0,0.0,0.0,D,2.47,3.18,2.99,9.0,17.0,20.0,11.0,5.0,2.0,7.0,4.0,2.0,3.0,0.0,1.0,D,2.2,1.67,0.0,0.0
E2,2022-07-30,Wycombe,Burton,3.0,0.0,3.0,0.0,H,1.75,3.67,4.54,6.0,6.0,16.0,11.0,7.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,H,1.91,1.86,0.0,0.0
B1,2022-07-31,Antwerp,Waregem,1.0,0.0,0.0,0.0,D,1.38,4.91,7.28,6.0,14.0,17.0,12.0,7.0,4.0,3.0,6.0,2.0,3.0,0.0,1.0,H,1.62,2.25,1.0,0.0
SC0,2022-07-31,Celtic,Aberdeen,2.0,0.0,1.0,0.0,H,1.25,5.75,10.99,11.0,12.0,21.0,5.0,9.0,3.0,9.0,3.0,1.0,2.0,0.0,0.0,H,1.56,2.38,1.0,0.0
B1,2022-07-31,Eupen,Club Brugge,2.0,1.0,2.0,1.0,H,6.0,4.75,1.46,18.0,13.0,13.0,13.0,6.0,5.0,5.0,7.0,4.0,2.0,1.0,0.0,H,1.52,2.49,0.0,0.0
B1,2022-07-31,Genk,Standard,3.0,1.0,3.0,1.0,H,1.51,4.31,5.82,15.0,11.0,16.0,10.0,5.0,2.0,7.0,4.0,3.0,4.0,0.0,0.0,H,1.65,2.2,0.0,0.0
B1,2022-07-31,Seraing,Kortrijk,0.0,1.0,0.0,0.0,D,2.86,3.34,2.4,17.0,9.0,18.0,7.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,A,1.88,1.9,0.0,1.0
SC0,2022-07-31,St Mirren,Motherwell,0.0,1.0,0.0,1.0,A,2.57,3.14,2.81,9.0,11.0,19.0,9.0,6.0,2.0,8.0,2.0,4.0,4.0,0.0,1.0,A,2.24,1.62,0.0,0.0
E1,2022-07-31,Sunderland,Coventry,1.0,1.0,1.0,0.0,H,2.69,3.34,2.61,16.0,6.0,10.0,9.0,5.0,2.0,4.0,3.0,4.0,1.0,0.0,0.0,D,2.01,1.8,0.0,1.0
E1,2022-08-01,Watford,Sheffield United,1.0,0.0,0.0,0.0,D,2.29,3.25,3.21,13.0,8.0,10.0,6.0,4.0,3.0,5.0,4.0,4.0,3.0,0.0,0.0,H,2.07,1.75,1.0,0.0
E1,2022-08-05,Birmingham,Huddersfield,2.0,1.0,2.0,0.0,H,2.39,3.16,3.16,10.0,10.0,18.0,9.0,6.0,2.0,6.0,7.0,1.0,2.0,0.0,0.0,H,2.26,1.64,0.0,1.0
B1,2022-08-05,Club Brugge,Waregem,1.0,1.0,0.0,0.0,D,1.26,6.39,9.28,7.0,17.0,23.0,7.0,7.0,4.0,7.0,4.0,2.0,3.0,0.0,0.0,D,1.32,3.27,1.0,1.0
E0,2022-08-05,Crystal Palace,Arsenal,0.0,2.0,0.0,1.0,A,4.39,3.59,1.88,16.0,11.0,10.0,10.0,2.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,A,2.09,1.76,0.0,1.0
D1,2022-08-05,Ein Frankfurt,Bayern Munich,1.0,6.0,0.0,5.0,A,5.82,4.96,1.49,10.0,11.0,8.0,23.0,2.0,10.0,5.0,6.0,2.0,0.0,0.0,0.0,A,1.39,2.94,1.0,1.0
N1,2022-08-05,Heerenveen,Sparta Rotterdam,0.0,0.0,0.0,0.0,D,1.93,3.5,3.96,5.0,8.0,11.0,13.0,2.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,D,1.98,1.82,0.0,0.0
F1,2022-08-05,Lyon,Ajaccio,2.0,1.0,2.0,1.0,H,1.32,5.35,9.65,10.0,18.0,11.0,8.0,6.0,4.0,4.0,3.0,1.0,6.0,1.0,1.0,H,1.68,2.21,0.0,0.0
SC0,2022-08-06,Aberdeen,St Mirren,4.0,1.0,3.0,0.0,H,1.99,3.28,3.93,12.0,15.0,23.0,6.0,10.0,1.0,4.0,4.0,1.0,2.0,0.0,1.0,H,2.2,1.64,1.0,1.0
D1,2022-08-06,Augsburg,Freiburg,0.0,4.0,0.0,0.0,D,3.39,3.51,2.15,13.0,13.0,10.0,19.0,2.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,A,1.88,1.93,0.0,4.0
E2,2022-08-06,Barnsley,Cheltenham,1.0,0.0,0.0,0.0,D,1.79,3.56,4.41,13.0,10.0,13.0,7.0,3.0,2.0,8.0,1.0,0.0,4.0,0.0,0.0,H,1.94,1.83,1.0,0.0
E3,2022-08-06,Barrow,Bradford,3.0,2.0,0.0,0.0,D,3.1,3.18,2.33,15.0,19.0,14.0,7.0,4.0,6.0,4.0,6.0,1.0,2.0,0.0,0.0,H,2.22,1.62,3.0,2.0
D1,2022-08-06,Bochum,Mainz,1.0,2.0,1.0,1.0,D,3.23,3.42,2.26,11.0,16.0,16.0,13.0,3.0,6.0,3.0,5.0,2.0,3.0,0.0,0.0,A,1.93,1.89,0.0,1.0
E2,2022-08-06,Bolton,Wycombe,3.0,0.0,2.0,0.0,H,2.42,3.25,2.93,12.0,6.0,21.0,17.0,6.0,3.0,4.0,7.0,0.0,2.0,0.0,0.0,H,2.06,1.73,1.0,0.0
E0,2022-08-06,Bournemouth,Aston Villa,2.0,0.0,1.0,0.0,H,3.8,3.5,2.04,18.0,16.0,7.0,15.0,3.0,2.0,5.0,5.0,3.0,3.0,0.0,0.0,H,2.03,1.8,1.0,0.0
E1,2022-08-06,Bristol City,Sunderland,2.0,3.0,1.0,1.0,D,2.46,3.31,2.91,10.0,9.0,13.0,16.0,5.0,6.0,8.0,9.0,2.0,2.0,0.0,0.0,A,2.09,1.73,1.0,2.0
E1,2022-08-06,Burnley,Luton,1.0,1.0,0.0,1.0,A,1.78,3.67,4.56,10.0,11.0,13.0,13.0,1.0,2.0,11.0,2.0,2.0,1.0,0.0,0.0,D,2.0,1.81,1.0,0.0
E2,2022-08-06,Burton,Bristol Rvs,0.0,4.0,0.0,4.0,A,2.6,3.27,2.68,7.0,7.0,4.0,23.0,1.0,5.0,3.0,13.0,2.0,1.0,1.0,0.0,A,2.01,1.76,0.0,0.0
N1,2022-08-06,Cambuur,Excelsior,0.0,2.0,0.0,2.0,A,1.9,3.82,3.71,9.0,5.0,27.0,7.0,8.0,4.0,10.0,2.0,1.0,2.0,0.0,0.0,A,1.58,2.34,0.0,0.0
B1,2022-08-06,Charleroi,Oostende,1.0,3.0,0.0,1.0,A,1.61,4.1,5.04,11.0,7.0,15.0,9.0,3.0,6.0,9.0,5.0,2.0,1.0,0.0,0.0,A,1.69,2.15,1.0,2.0
E2,2022-08-06,Charlton,Derby,1.0,0.0,0.0,0.0,D,2.69,3.19,2.64,11.0,7.0,14.0,13.0,7.0,2.0,5.0,4.0,2.0,1.0,0.0,0.0,H,2.12,1.69,1.0,0.0
F1,2022-08-06,Clermont,Paris SG,0.0,5.0,0.0,3.0,A,10.06,6.53,1.26,13.0,13.0,7.0,18.0,1.0,12.0,0.0,6.0,2.0,1.0,0.0,0.0,A,1.38,3.0,0.0,2.0
E3,2022-08-06,Colchester,Carlisle,1.0,1.0,1.0,1.0,D,2.16,3.28,3.32,13.0,8.0,12.0,11.0,5.0,5.0,5.0,5.0,0.0,2.0,0.0,0.0,D,2.07,1.71,0.0,0.0
E3,2022-08-06,Crawley Town,Leyton Orient,0.0,1.0,0.0,0.0,D,2.71,3.29,2.54,8.0,14.0,3.0,11.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,A,2.0,1.77,0.0,1.0
E3,2022-08-06,Crewe,Harrogate,3.0,0.0,2.0,0.0,H,2.18,3.3,3.27,12.0,11.0,12.0,10.0,5.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,H,2.03,1.74,1.0,0.0
E3,2022-08-06,Doncaster,Sutton,2.0,1.0,0.0,1.0,A,2.72,3.18,2.59,13.0,21.0,12.0,15.0,4.0,4.0,2.0,3.0,1.0,3.0,0.0,0.0,H,2.08,1.71,2.0,0.0
D1,2022-08-06,Dortmund,Leverkusen,1.0,0.0,1.0,0.0,H,2.06,4.12,3.19,14.0,13.0,13.0,8.0,4.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0,H,1.39,3.01,0.0,0.0
