Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes,Team
7,2024-09-21,Matchweek 5,Home,Reiss Nelson,Newcastle Utd,N,0.31,0.18,Right Foot,14,90+2,2-1,Nick Pope,Rodrigo Muniz,,,,,,Fulham
8,2024-09-28,Matchweek 6,Away,Raúl Jiménez,Nott'ham Forest,Y,0.79,0.67,Right Foot,13,51,0-0,Matz Sels,,Andreas Pereira,Fouled,Alex Iwobi,Pass (Live),,Fulham
9,2024-10-05,Matchweek 7,Away,Andreas Pereira,Manchester City,Y,0.59,0.98,Right Foot,5,26,0-0,Ederson,Raúl Jiménez,Raúl Jiménez,Pass (Live),Alex Iwobi,Pass (Live),Volley,Fulham
10,2024-10-05,Matchweek 7,Away,Rodrigo Muniz,Manchester City,N,0.22,0.83,Right Foot,12,88,1-3,Ederson,Reiss Nelson,Reiss Nelson,Pass (Live),Emile Smith Rowe,Pass (Live),Deflected,Fulham
11,2024-10-19,Matchweek 8,Home,Raúl Jiménez,Aston Villa,Y,0.06,0.38,Left Foot,18,5,0-0,Emiliano Martínez,Bernd Leno,Bernd Leno,Pass (Live),Calvin Bassey,Pass (Live),,Fulham
12,2024-10-26,Matchweek 9,Away,Alex Iwobi,Everton,Y,0.07,0.57,Right Foot,18,61,0-0,Jordan Pickford,Emile Smith Rowe,Emile Smith Rowe,Pass (Live),Emile Smith Rowe,Take-On,,Fulham
1,2024-08-24,Matchweek 2,Away,Sammie Szmodics,Manchester City,Y,0.29,0.29,Right Foot,21,7,0-0,Ederson,Ben Johnson,Ben Johnson,Pass (Live),Omari Hutchinson,Pass (Live),,Ipswich Town
2,2024-08-31,Matchweek 3,Home,Liam Delap,Fulham,Y,0.05,0.20,Right Foot,26,15,0-0,Bernd Leno,Leif Davis,Leif Davis,Pass (Live),Leif Davis,Take-On,,Ipswich Town
3,2024-09-21,Matchweek 5,Away,Sam Morsy,Southampton,Y*,0.04,0.58,Right Foot,22,90+5,0-1,Aaron Ramsdale,,George Hirst,Shot,,,Deflected,Ipswich Town
4,2024-09-29,Matchweek 6,Home,Liam Delap,Aston Villa,Y,0.12,0.34,Left Foot,13,8,0-0,Emiliano Martínez,Jack Clarke,Jack Clarke,Pass (Live),Kalvin Phillips,Pass (Live),,Ipswich Town
5,2024-09-29,Matchweek 6,Home,Liam Delap,Aston Villa,Y,0.29,0.73,Left Foot,11,72,1-2,Emiliano Martínez,Omari Hutchinson,Liam Delap,Take-On,Omari Hutchinson,Pass (Live),,Ipswich Town
6,2024-10-05,Matchweek 7,Away,Liam Delap,West Ham,Y,0.04,0.07,Right Foot,21,6,0-1,Alphonse Areola,,,,,,,Ipswich Town
7,2024-10-26,Matchweek 9,Away,Sammie Szmodics,Brentford,Y,0.19,0.25,Right Foot,18,28,0-0,Mark Flekken,George Hirst,George Hirst,Pass (Live),Kalvin Phillips,Pass (Live),,Ipswich Town
8,2024-10-26,Matchweek 9,Away,George Hirst,Brentford,Y,0.27,0.69,Right Foot,12,31,1-0,Mark Flekken,Conor Chaplin,Conor Chaplin,Pass (Live),,,,Ipswich Town
9,2024-10-26,Matchweek 9,Away,Liam Delap,Brentford,N,0.14,0.60,Left Foot,10,86,2-3,Mark Flekken,Leif Davis,Leif Davis,Pass (Live),Cameron Burgess,Pass (Live),Volley,Ipswich Town
1,2024-08-19,Matchweek 1,Home,Jamie Vardy,Tottenham,Y*,0.43,0.98,Head,5,57,0-1,Guglielmo Vicario,Abdul Fatawu Issahaku,Abdul Fatawu Issahaku,Pass (Live),Victor Bernth Kristiansen,Pass (Live),,Leicester City
2,2024-08-24,Matchweek 2,Away,Wout Faes,Fulham,Y,0.20,0.94,Head,4,38,0-1,Bernd Leno,Facundo Buonanotte,Facundo Buonanotte,Pass (Dead),Jamie Vardy,Pass (Live),,Leicester City
3,2024-08-31,Matchweek 3,Home,Facundo Buonanotte,Aston Villa,N,0.15,0.34,Left Foot,8,73,0-2,Emiliano Martínez,Wilfred Ndidi,Stephy Mavididi,Pass (Live),Stephy Mavididi,Take-On,Volley,Leicester City
4,2024-09-14,Matchweek 4,Away,Jamie Vardy,Crystal Palace,Y*,0.64,0.99,Right Foot,9,21,0-0,Dean Henderson,Wilfred Ndidi,Jamie Vardy,Take-On,Wilfred Ndidi,Pass (Live),,Leicester City
5,2024-09-14,Matchweek 4,Away,Stephy Mavididi,Crystal Palace,Y,0.26,0.90,Right Foot,10,46,1-0,Dean Henderson,Wilfred Ndidi,Wilfred Ndidi,Pass (Live),,,Volley,Leicester City
6,2024-09-21,Matchweek 5,Home,Stephy Mavididi,Everton,Y,0.21,0.95,Right Foot,4,73,0-1,Jordan Pickford,,,,,,Deflected,Leicester City
7,2024-09-28,Matchweek 6,Away,James Justin,Arsenal,Y,0.03,0.10,Head,14,47,0-2,David Raya,Facundo Buonanotte,Facundo Buonanotte,Pass (Dead),Jamie Vardy,Fouled,Deflected,Leicester City
8,2024-09-28,Matchweek 6,Away,James Justin,Arsenal,Y,0.05,0.07,Right Foot,14,63,1-2,David Raya,Wilfred Ndidi,Wilfred Ndidi,Pass (Live),Stephy Mavididi,Pass (Live),Volley,Leicester City
9,2024-10-05,Matchweek 7,Home,Facundo Buonanotte,Bournemouth,Y,0.23,0.69,Left Foot,12,16,0-0,Kepa Arrizabalaga,James Justin,Facundo Buonanotte,Take-On,James Justin,Pass (Live),,Leicester City
10,2024-10-19,Matchweek 8,Away,Facundo Buonanotte,Southampton,Y,0.95,0.99,Right Foot,2,64,0-2,Aaron Ramsdale,Abdul Fatawu Issahaku,Abdul Fatawu Issahaku,Pass (Live),Harry Winks,Pass (Live),Volley,Leicester City
11,2024-10-19,Matchweek 8,Away,Jamie Vardy,Southampton,Y*,0.79,0.96,Right Foot,13,74,1-2,Aaron Ramsdale,,Jamie Vardy,Fouled,Abdul Fatawu Issahaku,Shot,,Leicester City
12,2024-10-19,Matchweek 8,Away,Jordan Ayew,Southampton,N,0.10,0.29,Right Foot,16,90+8,2-2,Aaron Ramsdale,Harry Winks,Harry Winks,Pass (Dead),,,Deflected,Leicester City
13,2024-10-25,Matchweek 9,Home,Jamie Vardy,Nott'ham Forest,Y*,0.52,0.97,Right Foot,4,23,0-1,Matz Sels,Harry Winks,Harry Winks,Pass (Live),Stephy Mavididi,Pass (Live),Volley,Leicester City
1,2024-08-17,Matchweek 1,Away,Diogo Jota,Ipswich Town,Y,0.44,0.92,Left Foot,11,60,0-0,Christian Walton,Mohamed Salah,Mohamed Salah,Pass (Live),Trent Alexander-Arnold,Pass (Live),,Liverpool
2,2024-08-17,Matchweek 1,Away,Mohamed Salah,Ipswich Town,Y,0.41,0.82,Left Foot,7,65,1-0,Christian Walton,,Virgil van Dijk,Pass (Live),Ryan Gravenberch,Pass (Live),,Liverpool
3,2024-08-25,Matchweek 2,Home,Luis Díaz,Brentford,Y,0.42,0.24,Left Foot,16,13,0-0,Mark Flekken,Diogo Jota,Diogo Jota,Pass (Live),,,,Liverpool
4,2024-08-25,Matchweek 2,Home,Mohamed Salah,Brentford,Y,0.43,0.58,Left Foot,12,70,1-0,Mark Flekken,Luis Díaz,Luis Díaz,Pass (Live),Alexis Mac Allister,Pass (Live),,Liverpool
5,2024-09-01,Matchweek 3,Away,Luis Díaz,Manchester Utd,Y,0.29,0.95,Head,5,35,0-0,André Onana,Mohamed Salah,Mohamed Salah,Pass (Live),Ryan Gravenberch,Pass (Live),,Liverpool
6,2024-09-01,Matchweek 3,Away,Luis Díaz,Manchester Utd,Y,0.32,0.72,Right Foot,15,42,1-0,André Onana,Mohamed Salah,Mohamed Salah,Pass (Live),Luis Díaz,Pass (Live),,Liverpool
7,2024-09-01,Matchweek 3,Away,Mohamed Salah,Manchester Utd,Y,0.20,0.77,Left Foot,16,56,2-0,André Onana,Dominik Szoboszlai,Dominik Szoboszlai,Pass (Live),Alexis Mac Allister,Pass (Live),,Liverpool
8,2024-09-21,Matchweek 5,Home,Luis Díaz,Bournemouth,Y,0.13,0.86,Right Foot,15,26,0-0,Kepa Arrizabalaga,Ibrahima Konaté,Ibrahima Konaté,Pass (Live),Caoimhín Kelleher,Pass (Live),,Liverpool
9,2024-09-21,Matchweek 5,Home,Luis Díaz,Bournemouth,Y,0.24,0.26,Left Foot,9,28,1-0,Kepa Arrizabalaga,Trent Alexander-Arnold,Trent Alexander-Arnold,Pass (Live),Mohamed Salah,Pass (Live),,Liverpool
10,2024-09-21,Matchweek 5,Home,Darwin Núñez,Bournemouth,Y,0.06,0.64,Left Foot,16,37,2-0,Kepa Arrizabalaga,Mohamed Salah,Mohamed Salah,Pass (Live),Darwin Núñez,Pass (Live),,Liverpool
11,2024-09-28,Matchweek 6,Away,Ibrahima Konaté,Wolves,Y,0.10,0.12,Head,8,45+2,0-0,Sam Johnstone,Diogo Jota,Diogo Jota,Pass (Live),Ryan Gravenberch,Pass (Live),,Liverpool
12,2024-09-28,Matchweek 6,Away,Mohamed Salah,Wolves,Y,0.79,0.60,Left Foot,13,61,1-1,Sam Johnstone,,Diogo Jota,Fouled,Luis Díaz,Pass (Live),,Liverpool
13,2024-10-05,Matchweek 7,Away,Diogo Jota,Crystal Palace,Y,0.25,0.23,Right Foot,11,9,0-0,Dean Henderson,Cody Gakpo,Cody Gakpo,Pass (Live),Kostas Tsimikas,Pass (Live),,Liverpool
14,2024-10-20,Matchweek 8,Home,Mohamed Salah,Chelsea,Y,0.79,0.79,Left Foot,13,29,0-0,Robert Sánchez,,Curtis Jones,Fouled,Mohamed Salah,Shot,,Liverpool
15,2024-10-20,Matchweek 8,Home,Curtis Jones,Chelsea,Y,0.69,0.97,Right Foot,3,51,1-1,Robert Sánchez,Mohamed Salah,Mohamed Salah,Pass (Live),Dominik Szoboszlai,Pass (Live),,Liverpool
16,2024-10-27,Matchweek 9,Away,Virgil van Dijk,Arsenal,Y*,0.25,0.72,Head,5,18,0-1,David Raya,Luis Díaz,Luis Díaz,Pass (Live),Trent Alexander-Arnold,Pass (Dead),,Liverpool
17,2024-10-27,Matchweek 9,Away,Mohamed Salah,Arsenal,Y,0.29,0.79,Left Foot,13,81,1-2,David Raya,Darwin Núñez,Darwin Núñez,Pass (Live),Trent Alexander-Arnold,Pass (Live),,Liverpool
1,2024-08-18,Matchweek 1,Away,Erling Haaland,Chelsea,Y,0.17,0.18,Left Foot,9,18,0-0,Robert Sánchez,Bernardo Silva,Erling Haaland,Take-On,Bernardo Silva,Pass (Live),,Manchester City
2,2024-08-18,Matchweek 1,Away,Mateo Kovačić,Chelsea,Y,0.08,0.07,Right Foot,23,84,1-0,Robert Sánchez,,Mateo Kovačić,Take-On,,,,Manchester City
3,2024-08-24,Matchweek 2,Home,Erling Haaland,Ipswich Town,Y,0.79,0.84,Left Foot,13,12,0-1,Arijanet Muric,,Sávio,Fouled,Manuel Akanji,Pass (Live),,Manchester City
4,2024-08-24,Matchweek 2,Home,Kevin De Bruyne,Ipswich Town,Y*,0.59,0.97,Left Foot,26,14,1-1,Arijanet Muric,Sávio,Sávio,Pass (Live),Sávio,Tackle,,Manchester City
5,2024-08-24,Matchweek 2,Home,Erling Haaland,Ipswich Town,Y,0.21,0.92,Left Foot,13,16,2-1,Arijanet Muric,Kevin De Bruyne,Erling Haaland,Take-On,Kevin De Bruyne,Pass (Live),,Manchester City
6,2024-08-24,Matchweek 2,Home,Erling Haaland,Ipswich Town,Y,0.04,0.31,Left Foot,25,88,3-1,Arijanet Muric,,Bernardo Silva,Pass (Live),İlkay Gündoğan,Pass (Live),,Manchester City
7,2024-08-31,Matchweek 3,Away,Erling Haaland,West Ham,Y,0.46,0.88,Left Foot,15,10,0-0,Alphonse Areola,Bernardo Silva,Bernardo Silva,Pass (Live),,,,Manchester City
8,2024-08-31,Matchweek 3,Away,Erling Haaland,West Ham,Y,0.08,0.28,Left Foot,16,30,1-1,Alphonse Areola,Rico Lewis,Rico Lewis,Pass (Live),Mateo Kovačić,Pass (Live),,Manchester City
9,2024-08-31,Matchweek 3,Away,Erling Haaland,West Ham,Y,0.55,0.66,Left Foot,20,83,2-1,Łukasz Fabiański,Matheus Nunes,Matheus Nunes,Pass (Live),Matheus Nunes,Take-On,,Manchester City
10,2024-09-14,Matchweek 4,Home,Erling Haaland,Brentford,Y,0.07,0.50,Right Foot,10,19,0-1,Mark Flekken,,,,,,Deflected,Manchester City
11,2024-09-14,Matchweek 4,Home,Erling Haaland,Brentford,Y,0.38,0.22,Left Foot,15,32,1-1,Mark Flekken,Ederson,Ederson,Pass (Live),John Stones,Pass (Live),,Manchester City
12,2024-09-22,Matchweek 5,Home,Erling Haaland,Arsenal,Y,0.51,0.52,Left Foot,15,9,0-0,David Raya,Sávio,Sávio,Pass (Live),Sávio,Take-On,,Manchester City
13,2024-09-22,Matchweek 5,Home,John Stones,Arsenal,N,0.18,0.43,Left Foot,6,90+8,1-2,David Raya,,Mateo Kovačić,Shot,,,,Manchester City
14,2024-09-28,Matchweek 6,Away,Joško Gvardiol,Newcastle Utd,Y,0.08,0.68,Right Foot,10,35,0-0,Nick Pope,Jack Grealish,Joško Gvardiol,Take-On,Jack Grealish,Pass (Live),Deflected,Manchester City
15,2024-10-05,Matchweek 7,Home,Mateo Kovačić,Fulham,Y,0.07,0.39,Right Foot,16,32,0-1,Bernd Leno,,Jack Grealish,Tackle,,,Deflected,Manchester City
16,2024-10-05,Matchweek 7,Home,Mateo Kovačić,Fulham,Y,0.13,0.15,Right Foot,20,47,1-1,Bernd Leno,Bernardo Silva,Bernardo Silva,Pass (Live),Phil Foden,Pass (Live),,Manchester City
17,2024-10-05,Matchweek 7,Home,Jeremy Doku,Fulham,N,0.06,0.07,Right Foot,21,82,2-1,Bernd Leno,Rico Lewis,Rico Lewis,Pass (Live),Erling Haaland,Pass (Live),,Manchester City
18,2024-10-20,Matchweek 8,Away,Joško Gvardiol,Wolves,Y,0.02,0.12,Right Foot,24,33,0-1,José Sá,Jeremy Doku,Jeremy Doku,Pass (Live),Joško Gvardiol,Pass (Live),,Manchester City
19,2024-10-20,Matchweek 8,Away,John Stones,Wolves,Y,0.26,0.40,Head,4,90+5,1-1,José Sá,Phil Foden,Phil Foden,Pass (Dead),Phil Foden,Shot,,Manchester City
20,2024-10-26,Matchweek 9,Home,Erling Haaland,Southampton,Y,0.38,0.34,Left Foot,7,5,0-0,Aaron Ramsdale,Matheus Nunes,Matheus Nunes,Pass (Live),Bernardo Silva,Pass (Live),,Manchester City
1,2024-08-16,Matchweek 1,Home,Joshua Zirkzee,Fulham,N,0.07,0.86,Left Foot,11,87,0-0,Bernd Leno,Alejandro Garnacho,Alejandro Garnacho,Pass (Live),Casemiro,Pass (Live),Volley,Manchester Utd
2,2024-08-24,Matchweek 2,Away,Amad Diallo,Brighton,Y,0.08,0.33,Left Foot,14,60,0-1,Jason Steele,Noussair Mazraoui,Noussair Mazraoui,Pass (Live),Kobbie Mainoo,Pass (Live),Deflected,Manchester Utd
3,2024-09-14,Matchweek 4,Away,Matthijs de Ligt,Southampton,Y,0.34,0.84,Head,7,35,0-0,Aaron Ramsdale,Bruno Fernandes,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Dead),,Manchester Utd
4,2024-09-14,Matchweek 4,Away,Marcus Rashford,Southampton,Y,0.01,0.37,Right Foot,23,41,1-0,Aaron Ramsdale,Amad Diallo,Amad Diallo,Pass (Live),Christian Eriksen,Pass (Dead),,Manchester Utd
5,2024-09-14,Matchweek 4,Away,Alejandro Garnacho,Southampton,N,0.30,0.79,Right Foot,10,90+6,2-0,Aaron Ramsdale,Diogo Dalot,Diogo Dalot,Pass (Live),Casemiro,Pass (Live),,Manchester Utd
6,2024-10-19,Matchweek 8,Home,Alejandro Garnacho,Brentford,Y,0.14,0.25,Right Foot,8,47,0-1,Mark Flekken,Marcus Rashford,Marcus Rashford,Pass (Live),Christian Eriksen,Pass (Live),Volley,Manchester Utd
7,2024-10-19,Matchweek 8,Home,Rasmus Højlund,Brentford,Y,0.40,0.65,Left Foot,10,62,1-1,Mark Flekken,Bruno Fernandes,Bruno Fernandes,Pass (Live),Christian Eriksen,Pass (Live),,Manchester Utd
8,2024-10-27,Matchweek 9,Away,Casemiro,West Ham,Y,0.29,0.85,Head,3,81,0-1,Łukasz Fabiański,Joshua Zirkzee,Joshua Zirkzee,Shot,,,,Manchester Utd
1,2024-08-17,Matchweek 1,Home,Joelinton,Southampton,Y,0.17,0.63,Left Foot,15,45,0-0,Alex McCarthy,Alexander Isak,Alexander Isak,Pass (Live),Alexander Isak,Interception,,Newcastle Utd
2,2024-08-25,Matchweek 2,Away,Anthony Gordon,Bournemouth,Y,0.45,0.95,Right Foot,3,76,0-1,Neto,Harvey Barnes,Harvey Barnes,Pass (Live),Lewis Hall,Pass (Live),,Newcastle Utd
3,2024-09-01,Matchweek 3,Home,Harvey Barnes,Tottenham,Y,0.46,0.97,Right Foot,10,37,0-0,Guglielmo Vicario,Lloyd Kelly,Lloyd Kelly,Pass (Live),Dan Burn,Pass (Dead),,Newcastle Utd
4,2024-09-01,Matchweek 3,Home,Alexander Isak,Tottenham,Y,0.92,1.00,Left Foot,4,78,1-1,Guglielmo Vicario,Jacob Murphy,Jacob Murphy,Pass (Live),Joelinton,Pass (Live),,Newcastle Utd
5,2024-09-15,Matchweek 4,Away,Fabian Schär,Wolves,Y,0.03,0.32,Right Foot,30,75,0-1,Sam Johnstone,Bruno Guimarães,Bruno Guimarães,Pass (Live),Joe Willock,Pass (Live),Deflected,Newcastle Utd
6,2024-09-15,Matchweek 4,Away,Harvey Barnes,Wolves,N,0.06,0.82,Right Foot,25,80,1-1,Sam Johnstone,Joe Willock,Harvey Barnes,Take-On,Joe Willock,Pass (Live),,Newcastle Utd
7,2024-09-21,Matchweek 5,Away,Harvey Barnes,Fulham,Y,0.13,0.72,Right Foot,14,46,0-2,Bernd Leno,Jacob Murphy,Jacob Murphy,Pass (Live),Jacob Murphy,Pass (Live),Deflected,Newcastle Utd
8,2024-09-28,Matchweek 6,Home,Anthony Gordon,Manchester City,Y,0.79,0.70,Right Foot,13,58,0-1,Ederson,,Anthony Gordon,Fouled,Bruno Guimarães,Pass (Live),,Newcastle Utd
9,2024-10-27,Matchweek 9,Away,Alexander Isak,Chelsea,Y,0.98,0.99,Right Foot,2,32,0-1,Robert Sánchez,Lewis Hall,Lewis Hall,Pass (Live),Harvey Barnes,Pass (Live),Volley,Newcastle Utd
1,2024-08-17,Matchweek 1,Home,Chris Wood,Bournemouth,Y,0.71,0.95,Right Foot,8,23,0-0,Neto,,Ryan Yates,Shot,,,,Nott'ham Forest
2,2024-08-24,Matchweek 2,Away,Morgan Gibbs-White,Southampton,Y*,0.25,0.87,Right Foot,4,70,0-0,Alex McCarthy,,Morgan Gibbs-White,Shot,,,,Nott'ham Forest
3,2024-08-31,Matchweek 3,Home,Chris Wood,Wolves,Y,0.03,0.10,Head,12,10,0-0,Sam Johnstone,Elliot Anderson,Elliot Anderson,Pass (Dead),Callum Hudson-Odoi,Fouled,,Nott'ham Forest
4,2024-09-14,Matchweek 4,Away,Callum Hudson-Odoi,Liverpool,N,0.07,0.29,Right Foot,24,72,0-0,Alisson,Anthony Elanga,Anthony Elanga,Pass (Live),Morgan Gibbs-White,Pass (Live),,Nott'ham Forest
5,2024-09-22,Matchweek 5,Away,Chris Wood,Brighton,Y,0.79,0.89,Right Foot,13,13,0-0,Bart Verbruggen,,Callum Hudson-Odoi,Fouled,,,,Nott'ham Forest
6,2024-09-22,Matchweek 5,Away,Ramón Sosa,Brighton,N,0.45,0.49,Right Foot,11,70,1-2,Bart Verbruggen,Jota Silva,Jota Silva,Pass (Live),Morgan Gibbs-White,Pass (Live),,Nott'ham Forest
7,2024-10-06,Matchweek 7,Away,Chris Wood,Chelsea,Y,0.16,0.79,Right Foot,10,49,0-0,Robert Sánchez,Nikola Milenković,Nikola Milenković,Pass (Live),James Ward-Prowse,Pass (Dead),Volley,Nott'ham Forest
8,2024-10-21,Matchweek 8,Home,Chris Wood,Crystal Palace,Y,0.02,0.05,Right Foot,26,65,0-0,Dean Henderson,,Murillo,Pass (Live),Álex Moreno,Pass (Live),Volley,Nott'ham Forest
9,2024-10-25,Matchweek 9,Away,Ryan Yates,Leicester City,Y*,0.03,0.22,Right Foot,29,16,0-0,Mads Hermansen,,Elliot Anderson,Shot,,,,Nott'ham Forest
10,2024-10-25,Matchweek 9,Away,Chris Wood,Leicester City,Y,0.09,0.77,Right Foot,15,47,1-1,Mads Hermansen,Elliot Anderson,Elliot Anderson,Pass (Live),Callum Hudson-Odoi,Pass (Live),,Nott'ham Forest
11,2024-10-25,Matchweek 9,Away,Chris Wood,Leicester City,Y,0.23,0.23,Head,11,60,2-1,Mads Hermansen,,Nikola Milenković,Pass (Live),,,,Nott'ham Forest
1,2024-08-31,Matchweek 3,Away,Yukinari Sugawara,Brentford,Y,0.08,0.25,Left Foot,15,90+4,0-3,Mark Flekken,Adam Lallana,Adam Lallana,Pass (Live),Tyler Dibling,Pass (Live),,Southampton
2,2024-09-21,Matchweek 5,Home,Tyler Dibling,Ipswich Town,Y,0.72,0.67,Left Foot,10,5,0-0,Arijanet Muric,Adam Lallana,Tyler Dibling,Take-On,Adam Lallana,Pass (Live),,Southampton
3,2024-09-30,Matchweek 6,Away,Taylor Harwood-Bellis,Bournemouth,Y,0.13,0.62,Head,10,51,0-3,Kepa Arrizabalaga,,Charlie Taylor,Pass (Live),Taylor Harwood-Bellis,Shot,,Southampton
4,2024-10-05,Matchweek 7,Away,Cameron Archer,Arsenal,N,0.06,0.64,Right Foot,15,55,0-0,David Raya,Mateus Fernandes,Mateus Fernandes,Pass (Live),Mateus Fernandes,Tackle,Deflected,Southampton
5,2024-10-19,Matchweek 8,Home,Cameron Archer,Leicester City,Y,0.43,0.96,Left Foot,6,8,0-0,Mads Hermansen,,Kyle Walker-Peters,Pass (Live),Flynn Downes,Pass (Dead),,Southampton
6,2024-10-19,Matchweek 8,Home,Joe Aribo,Leicester City,Y,0.58,0.97,Left Foot,9,28,1-0,Mads Hermansen,Kyle Walker-Peters,Kyle Walker-Peters,Pass (Live),Mateus Fernandes,Pass (Live),,Southampton
1,2024-08-19,Matchweek 1,Away,Pedro Porro,Leicester City,Y,0.09,0.72,Head,9,29,0-0,Mads Hermansen,James Maddison,James Maddison,Pass (Live),Son Heung-min,Pass (Live),,Tottenham
2,2024-08-24,Matchweek 2,Home,Yves Bissouma,Everton,Y,0.10,0.24,Right Foot,21,14,0-0,Jordan Pickford,Dejan Kulusevski,Dejan Kulusevski,Pass (Live),Dejan Kulusevski,Take-On,,Tottenham
3,2024-08-24,Matchweek 2,Home,Son Heung-min,Everton,Y*,0.86,0.99,Right Foot,9,25,1-0,Jordan Pickford,,,,,,,Tottenham
4,2024-08-24,Matchweek 2,Home,Cristian Romero,Everton,Y,0.27,0.51,Head,4,71,2-0,Jordan Pickford,James Maddison,James Maddison,Pass (Dead),,,,Tottenham
5,2024-08-24,Matchweek 2,Home,Son Heung-min,Everton,Y*,0.25,0.24,Left Foot,9,77,3-0,Jordan Pickford,Micky van de Ven,Micky van de Ven,Pass (Live),,,,Tottenham
6,2024-09-01,Matchweek 3,Away,Dan Burn(OG),Newcastle Utd,Y,,,,,56,0-1,Nick Pope,,,,,,Own Goal,Tottenham
7,2024-09-21,Matchweek 5,Home,Dominic Solanke,Brentford,Y,0.71,0.74,Right Foot,9,8,0-1,Mark Flekken,,James Maddison,Shot,,,,Tottenham
8,2024-09-21,Matchweek 5,Home,Brennan Johnson,Brentford,Y,0.07,0.20,Right Foot,14,28,1-1,Mark Flekken,Son Heung-min,Son Heung-min,Pass (Live),James Maddison,Pass (Live),,Tottenham
9,2024-09-21,Matchweek 5,Home,James Maddison,Brentford,Y,0.51,0.45,Left Foot,13,85,2-1,Mark Flekken,Son Heung-min,Son Heung-min,Pass (Live),Cristian Romero,Pass (Live),,Tottenham
10,2024-09-29,Matchweek 6,Away,Brennan Johnson,Manchester Utd,Y,0.91,0.97,Right Foot,4,3,0-0,André Onana,Micky van de Ven,Micky van de Ven,Pass (Live),Destiny Udogie,Interception,,Tottenham
11,2024-09-29,Matchweek 6,Away,Dejan Kulusevski,Manchester Utd,Y,0.39,0.33,Left Foot,5,47,1-0,André Onana,,Dominic Solanke,Pass (Live),Cristian Romero,Pass (Live),Volley,Tottenham
12,2024-09-29,Matchweek 6,Away,Dominic Solanke,Manchester Utd,Y,0.87,0.85,Right Foot,3,77,2-0,André Onana,Pape Matar Sarr,Pape Matar Sarr,Shot,,,,Tottenham
13,2024-10-06,Matchweek 7,Away,Brennan Johnson,Brighton,Y,0.48,0.67,Left Foot,16,23,0-0,Bart Verbruggen,Dominic Solanke,Dominic Solanke,Pass (Live),James Maddison,Pass (Live),,Tottenham
14,2024-10-06,Matchweek 7,Away,James Maddison,Brighton,Y,0.10,0.15,Right Foot,18,37,1-0,Bart Verbruggen,Timo Werner,Timo Werner,Pass (Live),Dominic Solanke,Pass (Live),,Tottenham
15,2024-10-19,Matchweek 8,Home,Dejan Kulusevski,West Ham,Y,0.10,0.15,Left Foot,18,36,0-1,Alphonse Areola,James Maddison,James Maddison,Pass (Live),Dominic Solanke,Pass (Live),,Tottenham
16,2024-10-19,Matchweek 8,Home,Yves Bissouma,West Ham,Y,0.16,0.14,Right Foot,17,52,1-1,Alphonse Areola,Destiny Udogie,Destiny Udogie,Pass (Live),Son Heung-min,Pass (Live),,Tottenham
17,2024-10-19,Matchweek 8,Home,Alphonse Areola(OG),West Ham,Y,,,,,55,2-1,Alphonse Areola,,,,,,Own Goal,Tottenham
18,2024-10-19,Matchweek 8,Home,Son Heung-min,West Ham,Y*,0.10,0.20,Left Foot,11,60,3-1,Alphonse Areola,Pape Matar Sarr,Pape Matar Sarr,Pass (Live),,,,Tottenham
1,2024-08-17,Matchweek 1,Home,Lucas Paquetá,Aston Villa,Y,0.79,0.63,Left Foot,13,37,0-1,Emiliano Martínez,,Tomáš Souček,Fouled,Lucas Paquetá,Pass (Live),,West Ham
2,2024-08-24,Matchweek 2,Away,Tomáš Souček,Crystal Palace,Y,0.11,0.28,Left Foot,17,67,0-0,Dean Henderson,,Lucas Paquetá,Shot,,,Deflected,West Ham
3,2024-08-24,Matchweek 2,Away,Jarrod Bowen,Crystal Palace,Y*,0.10,0.58,Left Foot,17,72,1-0,Dean Henderson,Max Kilman,Max Kilman,Pass (Live),Max Kilman,Take-On,,West Ham
4,2024-08-31,Matchweek 3,Home,Rúben Dias(OG),Manchester City,Y,,,,,19,0-1,Ederson,,,,,,Own Goal,West Ham
5,2024-09-14,Matchweek 4,Away,Danny Ings,Fulham,N,0.25,0.53,Right Foot,12,90+5,0-1,Bernd Leno,Jarrod Bowen,Jarrod Bowen,Pass (Live),Vladimír Coufal,Pass (Dead),,West Ham
6,2024-09-28,Matchweek 6,Away,Tomáš Souček,Brentford,Y,0.22,0.48,Left Foot,8,54,0-1,Mark Flekken,Michail Antonio,Michail Antonio,Shot,,,,West Ham
7,2024-10-05,Matchweek 7,Home,Michail Antonio,Ipswich Town,Y,0.10,0.24,Right Foot,11,1,0-0,Arijanet Muric,Jarrod Bowen,Jarrod Bowen,Pass (Live),Tomáš Souček,Pass (Live),Deflected,West Ham
8,2024-10-05,Matchweek 7,Home,Mohammed Kudus,Ipswich Town,Y,0.51,0.81,Head,2,43,1-1,Arijanet Muric,,Michail Antonio,Shot,,,,West Ham
9,2024-10-05,Matchweek 7,Home,Jarrod Bowen,Ipswich Town,Y*,0.04,0.35,Left Foot,15,49,2-1,Arijanet Muric,,Michail Antonio,Shot,,,,West Ham
